file_name,harmonic,closeness_centrality,pagerank,degree_centrality,betweenness_centrality,all_subgraphs
es_gsd-ud-train_8180.graphml,2,2,2,2,2,2
es_gsd-ud-train_7273.graphml,1,0,3,1,0,0
es_gsd-ud-train_4880.graphml,0,0,0,0,0,0
es_gsd-ud-train_578.graphml,0,0,0,0,0,0
es_gsd-ud-train_5413.graphml,1,1,1,1,1,1
es_gsd-ud-train_8819.graphml,3,2,3,3,2,2
es_gsd-ud-train_13614.graphml,0,1,0,0,1,1
es_gsd-ud-train_4119.graphml,2,2,2,1,2,2
es_gsd-ud-train_6601.graphml,3,3,6,6,3,3
es_gsd-ud-train_400.graphml,2,1,2,2,2,1
es_gsd-ud-train_3027.graphml,2,2,2,2,2,2
es_gsd-ud-train_10406.graphml,0,0,1,0,0,0
es_gsd-ud-train_1647.graphml,1,1,2,2,1,1
es_gsd-ud-train_8961.graphml,1,0,1,1,0,0
es_gsd-ud-train_12266.graphml,0,1,0,0,0,1
es_gsd-ud-train_11895.graphml,1,1,1,1,1,1
es_gsd-ud-train_4061.graphml,0,1,0,0,1,1
es_gsd-ud-train_7105.graphml,0,0,0,0,0,0
es_gsd-ud-train_10608.graphml,1,1,2,0,1,1
es_gsd-ud-train_3229.graphml,0,0,0,0,0,0
es_gsd-ud-train_11302.graphml,0,0,0,0,0,0
es_gsd-ud-train_2723.graphml,0,0,0,0,0,0
es_gsd-ud-train_13562.graphml,0,0,0,0,0,0
es_gsd-ud-train_12068.graphml,4,3,4,4,3,3
es_gsd-ud-train_1449.graphml,1,1,1,0,1,1
es_gsd-ud-train_5765.graphml,3,1,3,3,1,1
es_gsd-ud-train_9684.graphml,0,0,0,0,0,0
es_gsd-ud-train_10770.graphml,0,0,1,0,0,0
es_gsd-ud-train_3351.graphml,2,1,2,2,1,1
es_gsd-ud-train_776.graphml,0,0,0,0,0,0
es_gsd-ud-train_6577.graphml,0,1,3,0,1,1
es_gsd-ud-train_12889.graphml,0,0,0,0,0,0
es_gsd-ud-train_4317.graphml,0,2,0,0,2,2
es_gsd-ud-train_12110.graphml,0,0,0,0,0,0
es_gsd-ud-train_1531.graphml,0,0,0,0,0,0
es_gsd-ud-train_13572.graphml,3,1,1,1,2,2
es_gsd-ud-train_5775.graphml,1,1,1,1,1,1
es_gsd-ud-train_12078.graphml,2,2,2,2,2,2
es_gsd-ud-train_1459.graphml,0,0,0,0,0,0
es_gsd-ud-train_10618.graphml,3,3,4,3,3,3
es_gsd-ud-train_3239.graphml,2,2,0,0,2,2
es_gsd-ud-train_7115.graphml,2,2,2,2,2,2
es_gsd-ud-train_11312.graphml,2,1,3,3,1,2
es_gsd-ud-train_2733.graphml,0,0,1,1,0,0
es_gsd-ud-train_4307.graphml,1,0,1,1,1,0
es_gsd-ud-train_12100.graphml,0,0,0,0,0,0
es_gsd-ud-train_1521.graphml,2,1,0,0,1,1
es_gsd-ud-train_766.graphml,1,2,1,1,1,2
es_gsd-ud-train_9694.graphml,2,2,4,3,2,2
es_gsd-ud-train_10760.graphml,0,1,2,0,1,1
es_gsd-ud-train_3341.graphml,1,1,1,1,1,1
es_gsd-ud-train_12899.graphml,0,0,0,0,0,0
es_gsd-ud-train_6567.graphml,0,1,0,0,0,1
es_gsd-ud-train_7750.graphml,0,0,0,0,0,0
es_gsd-ud-train_2176.graphml,1,1,2,0,1,1
es_gsd-ud-train_11557.graphml,0,0,2,0,0,0
es_gsd-ud-train_9830.graphml,1,0,1,1,0,1
es_gsd-ud-train_13337.graphml,2,3,6,1,2,3
es_gsd-ud-train_5130.graphml,1,1,0,0,1,1
es_gsd-ud-train_7628.graphml,1,1,1,1,1,1
es_gsd-ud-train_123.graphml,0,0,0,0,0,0
es_gsd-ud-train_3504.graphml,1,1,1,1,1,1
es_gsd-ud-train_10125.graphml,0,0,0,0,0,0
es_gsd-ud-train_6322.graphml,0,0,1,0,0,0
es_gsd-ud-train_4542.graphml,0,0,0,0,0,0
es_gsd-ud-train_9948.graphml,1,1,1,1,1,1
es_gsd-ud-train_2997.graphml,2,2,4,4,2,2
es_gsd-ud-train_1364.graphml,0,0,0,0,0,0
es_gsd-ud-train_12745.graphml,0,1,0,0,1,1
es_gsd-ud-train_5048.graphml,0,0,1,0,0,0
es_gsd-ud-train_13327.graphml,2,1,2,2,2,2
es_gsd-ud-train_9820.graphml,1,1,2,2,1,1
es_gsd-ud-train_5120.graphml,4,4,4,4,4,4
es_gsd-ud-train_7740.graphml,1,0,0,0,0,1
es_gsd-ud-train_2166.graphml,2,2,2,2,2,2
es_gsd-ud-train_11547.graphml,2,2,2,2,2,2
es_gsd-ud-train_9958.graphml,1,1,0,0,1,1
es_gsd-ud-train_4552.graphml,1,1,2,0,1,1
es_gsd-ud-train_5058.graphml,2,2,3,2,2,2
es_gsd-ud-train_2987.graphml,2,1,0,0,1,1
es_gsd-ud-train_1374.graphml,0,0,0,0,0,0
es_gsd-ud-train_12755.graphml,1,1,1,1,1,1
es_gsd-ud-train_3514.graphml,1,1,1,1,1,1
es_gsd-ud-train_10135.graphml,1,1,0,0,1,1
es_gsd-ud-train_7638.graphml,0,0,0,0,0,0
es_gsd-ud-train_133.graphml,1,1,1,1,1,1
es_gsd-ud-train_6332.graphml,2,2,3,2,2,2
es_gsd-ud-train_9852.graphml,1,1,1,1,2,1
es_gsd-ud-train_13355.graphml,2,1,0,0,1,1
es_gsd-ud-train_4458.graphml,0,1,4,4,1,1
es_gsd-ud-train_5152.graphml,0,0,0,0,0,0
es_gsd-ud-train_7732.graphml,0,0,0,0,0,0
es_gsd-ud-train_6238.graphml,2,2,2,2,2,2
es_gsd-ud-train_2114.graphml,1,1,1,1,1,1
es_gsd-ud-train_11535.graphml,0,0,0,0,0,0
es_gsd-ud-train_4520.graphml,3,3,3,3,3,3
es_gsd-ud-train_1306.graphml,1,1,1,1,1,1
es_gsd-ud-train_12727.graphml,0,0,0,0,0,0
es_gsd-ud-train_141.graphml,4,4,3,3,4,4
es_gsd-ud-train_3566.graphml,1,1,2,1,1,1
es_gsd-ud-train_10147.graphml,2,2,2,2,2,2
es_gsd-ud-train_6340.graphml,1,1,0,0,1,1
es_gsd-ud-train_7722.graphml,0,0,2,0,0,0
es_gsd-ud-train_2104.graphml,0,0,1,1,0,0
es_gsd-ud-train_11525.graphml,1,1,2,1,1,1
es_gsd-ud-train_6228.graphml,0,0,1,1,0,0
es_gsd-ud-train_4448.graphml,1,1,1,1,1,1
es_gsd-ud-train_13345.graphml,0,0,0,0,0,0
es_gsd-ud-train_9842.graphml,2,2,2,2,2,2
es_gsd-ud-train_5142.graphml,0,0,1,0,0,0
es_gsd-ud-train_3576.graphml,0,1,0,0,1,1
es_gsd-ud-train_10157.graphml,0,0,1,1,0,0
es_gsd-ud-train_151.graphml,0,0,0,0,0,0
es_gsd-ud-train_6350.graphml,0,0,0,0,0,0
es_gsd-ud-train_4530.graphml,1,0,3,1,0,0
es_gsd-ud-train_1316.graphml,2,2,0,0,2,2
es_gsd-ud-train_12737.graphml,3,3,1,1,3,3
es_gsd-ud-train_13500.graphml,0,0,0,0,0,0
es_gsd-ud-train_5707.graphml,1,1,1,1,1,1
es_gsd-ud-train_7167.graphml,0,0,0,0,0,0
es_gsd-ud-train_12993.graphml,0,0,0,0,0,0
es_gsd-ud-train_8294.graphml,1,1,0,0,1,1
es_gsd-ud-train_11360.graphml,0,0,2,0,0,0
es_gsd-ud-train_2741.graphml,0,0,2,2,0,0
es_gsd-ud-train_13478.graphml,0,0,0,0,0,0
es_gsd-ud-train_7986.graphml,1,1,1,1,1,1
es_gsd-ud-train_4375.graphml,2,2,2,2,2,2
es_gsd-ud-train_12172.graphml,1,1,2,1,1,1
es_gsd-ud-train_1553.graphml,1,1,0,0,1,1
es_gsd-ud-train_10712.graphml,0,0,0,0,0,0
es_gsd-ud-train_3333.graphml,0,1,2,0,0,1
es_gsd-ud-train_714.graphml,1,1,1,1,1,1
es_gsd-ud-train_6515.graphml,1,1,1,1,1,1
es_gsd-ud-train_11218.graphml,0,0,0,0,0,0
es_gsd-ud-train_2639.graphml,0,0,0,0,0,0
es_gsd-ud-train_7177.graphml,2,2,2,2,2,2
es_gsd-ud-train_8284.graphml,2,2,0,0,2,2
es_gsd-ud-train_12983.graphml,4,3,4,4,4,3
es_gsd-ud-train_11370.graphml,0,1,0,0,2,1
es_gsd-ud-train_2751.graphml,1,0,1,1,1,0
es_gsd-ud-train_13510.graphml,2,1,0,0,1,1
es_gsd-ud-train_5717.graphml,2,2,3,2,2,2
es_gsd-ud-train_704.graphml,1,0,0,0,0,1
es_gsd-ud-train_10702.graphml,0,0,0,0,0,0
es_gsd-ud-train_3323.graphml,0,0,0,0,0,0
es_gsd-ud-train_11208.graphml,0,1,0,0,1,1
es_gsd-ud-train_2629.graphml,3,3,3,3,3,3
es_gsd-ud-train_6505.graphml,1,1,2,1,1,1
es_gsd-ud-train_7996.graphml,0,1,0,0,2,1
es_gsd-ud-train_4365.graphml,1,1,1,1,1,1
es_gsd-ud-train_13468.graphml,1,1,1,1,1,1
es_gsd-ud-train_12162.graphml,0,0,0,0,0,0
es_gsd-ud-train_1543.graphml,1,0,1,1,0,0
es_gsd-ud-train_2427.graphml,0,0,0,0,0,0
es_gsd-ud-train_11006.graphml,1,0,0,0,0,0
es_gsd-ud-train_7201.graphml,0,0,0,0,0,0
es_gsd-ud-train_5461.graphml,0,0,0,0,0,0
es_gsd-ud-train_13666.graphml,1,0,4,1,0,0
es_gsd-ud-train_6673.graphml,1,1,2,1,1,1
es_gsd-ud-train_3055.graphml,3,3,4,4,3,3
es_gsd-ud-train_10474.graphml,1,1,2,2,1,1
es_gsd-ud-train_9580.graphml,1,1,0,0,1,1
es_gsd-ud-train_7379.graphml,1,2,4,1,2,2
es_gsd-ud-train_472.graphml,4,4,4,4,4,4
es_gsd-ud-train_5519.graphml,0,0,0,0,0,0
es_gsd-ud-train_1635.graphml,0,1,1,0,0,0
es_gsd-ud-train_12214.graphml,1,1,2,2,1,1
es_gsd-ud-train_8913.graphml,1,1,3,3,1,1
es_gsd-ud-train_4013.graphml,1,1,1,1,1,1
es_gsd-ud-train_5471.graphml,0,0,2,0,0,0
es_gsd-ud-train_13676.graphml,1,1,1,1,1,1
es_gsd-ud-train_2437.graphml,2,2,2,2,2,2
es_gsd-ud-train_11016.graphml,0,0,0,0,0,0
es_gsd-ud-train_7211.graphml,2,2,3,2,2,2
es_gsd-ud-train_1625.graphml,2,2,2,2,2,2
es_gsd-ud-train_8903.graphml,0,0,0,0,0,0
es_gsd-ud-train_12204.graphml,0,0,2,2,0,0
es_gsd-ud-train_5509.graphml,3,3,4,4,3,3
es_gsd-ud-train_4003.graphml,1,1,0,0,1,1
es_gsd-ud-train_6663.graphml,0,0,2,2,0,0
es_gsd-ud-train_7369.graphml,0,0,1,0,0,0
es_gsd-ud-train_462.graphml,0,0,1,0,0,0
es_gsd-ud-train_3045.graphml,0,0,0,0,0,0
es_gsd-ud-train_10464.graphml,2,1,2,2,1,1
es_gsd-ud-train_9590.graphml,1,1,1,1,1,1
es_gsd-ud-train_11653.graphml,0,0,0,0,0,0
es_gsd-ud-train_2272.graphml,2,2,1,1,2,2
es_gsd-ud-train_1881.graphml,2,2,2,2,2,2
es_gsd-ud-train_10359.graphml,0,0,1,0,0,0
es_gsd-ud-train_3778.graphml,0,0,1,0,0,0
es_gsd-ud-train_14075.graphml,0,0,0,0,0,0
es_gsd-ud-train_64.graphml,2,3,5,2,3,3
es_gsd-ud-train_7454.graphml,0,0,1,0,0,0
es_gsd-ud-train_5234.graphml,1,0,1,1,0,0
es_gsd-ud-train_12539.graphml,0,0,0,0,0,0
es_gsd-ud-train_1118.graphml,3,2,2,0,3,2
es_gsd-ud-train_13033.graphml,1,1,1,1,1,1
es_gsd-ud-train_6026.graphml,5,3,2,1,2,3
es_gsd-ud-train_227.graphml,0,2,0,0,3,3
es_gsd-ud-train_10221.graphml,2,2,2,2,2,2
es_gsd-ud-train_3600.graphml,1,1,1,0,1,1
es_gsd-ud-train_12441.graphml,0,0,0,0,0,0
es_gsd-ud-train_1060.graphml,0,0,1,0,0,0
es_gsd-ud-train_4646.graphml,1,1,1,1,1,1
es_gsd-ud-train_12529.graphml,2,1,3,0,1,1
es_gsd-ud-train_1108.graphml,0,0,0,0,0,0
es_gsd-ud-train_5224.graphml,0,0,1,0,0,0
es_gsd-ud-train_13023.graphml,3,3,1,1,3,3
es_gsd-ud-train_11643.graphml,2,3,4,2,2,3
es_gsd-ud-train_2262.graphml,2,0,2,2,0,0
es_gsd-ud-train_1891.graphml,0,0,0,0,0,0
es_gsd-ud-train_14065.graphml,0,0,0,0,0,0
es_gsd-ud-train_7444.graphml,0,1,1,0,1,1
es_gsd-ud-train_74.graphml,4,3,6,6,4,4
es_gsd-ud-train_10349.graphml,2,1,0,0,2,2
es_gsd-ud-train_3768.graphml,3,3,5,5,2,3
es_gsd-ud-train_12451.graphml,0,1,0,0,1,1
es_gsd-ud-train_1070.graphml,6,6,8,2,6,6
es_gsd-ud-train_4656.graphml,1,1,1,1,1,1
es_gsd-ud-train_6036.graphml,2,2,3,3,2,2
es_gsd-ud-train_10231.graphml,2,1,2,2,1,1
es_gsd-ud-train_3610.graphml,0,1,0,0,2,1
es_gsd-ud-train_237.graphml,0,0,1,1,0,0
es_gsd-ud-train_11926.graphml,1,1,1,1,1,1
es_gsd-ud-train_3194.graphml,0,0,0,0,0,0
es_gsd-ud-train_9441.graphml,0,0,0,0,0,0
es_gsd-ud-train_3975.graphml,1,1,1,1,1,1
es_gsd-ud-train_9539.graphml,0,0,2,0,0,0
es_gsd-ud-train_4933.graphml,1,2,2,1,1,2
es_gsd-ud-train_8033.graphml,0,0,0,0,0,0
es_gsd-ud-train_3184.graphml,0,0,0,0,0,0
es_gsd-ud-train_9451.graphml,2,2,0,0,2,2
es_gsd-ud-train_11936.graphml,0,0,0,0,0,0
es_gsd-ud-train_4923.graphml,0,0,4,0,0,0
es_gsd-ud-train_9529.graphml,0,0,0,0,0,0
es_gsd-ud-train_8023.graphml,0,0,3,3,0,0
es_gsd-ud-train_3965.graphml,0,0,0,0,0,0
es_gsd-ud-train_4787.graphml,1,3,1,1,3,3
es_gsd-ud-train_12580.graphml,0,0,0,0,0,0
es_gsd-ud-train_9214.graphml,1,1,2,2,1,1
es_gsd-ud-train_13913.graphml,1,3,1,1,3,3
es_gsd-ud-train_1838.graphml,0,0,0,0,0,0
es_gsd-ud-train_6906.graphml,0,0,0,0,0,0
es_gsd-ud-train_7595.graphml,0,0,1,0,0,0
es_gsd-ud-train_10298.graphml,0,0,0,0,0,0
es_gsd-ud-train_11792.graphml,1,1,0,0,1,1
es_gsd-ud-train_8666.graphml,0,0,0,0,0,0
es_gsd-ud-train_1940.graphml,1,1,1,1,1,1
es_gsd-ud-train_13903.graphml,1,1,1,1,1,1
es_gsd-ud-train_9204.graphml,2,1,2,2,2,1
es_gsd-ud-train_1828.graphml,1,1,1,1,1,1
es_gsd-ud-train_4797.graphml,1,1,1,1,1,1
es_gsd-ud-train_12590.graphml,0,0,0,0,0,0
es_gsd-ud-train_10288.graphml,2,2,2,2,2,2
es_gsd-ud-train_7585.graphml,1,1,1,1,1,1
es_gsd-ud-train_11782.graphml,2,2,4,1,2,2
es_gsd-ud-train_8676.graphml,1,1,1,1,1,1
es_gsd-ud-train_1950.graphml,0,0,0,0,0,0
es_gsd-ud-train_6916.graphml,0,0,0,0,0,0
es_gsd-ud-train_5872.graphml,0,0,0,0,0,0
es_gsd-ud-train_6281.graphml,0,0,0,0,0,0
es_gsd-ud-train_8478.graphml,2,2,2,2,2,2
es_gsd-ud-train_9172.graphml,0,2,0,0,2,2
es_gsd-ud-train_10086.graphml,2,1,2,2,1,1
es_gsd-ud-train_2834.graphml,0,1,0,0,0,1
es_gsd-ud-train_919.graphml,0,0,1,0,0,0
es_gsd-ud-train_8500.graphml,0,0,0,0,0,0
es_gsd-ud-train_5093.graphml,0,0,0,0,0,0
es_gsd-ud-train_4599.graphml,0,0,0,0,0,0
es_gsd-ud-train_861.graphml,3,2,0,0,3,2
es_gsd-ud-train_10867.graphml,2,2,2,2,2,2
es_gsd-ud-train_9993.graphml,1,2,5,1,2,2
es_gsd-ud-train_13294.graphml,1,1,1,1,1,1
es_gsd-ud-train_2824.graphml,0,1,0,0,0,0
es_gsd-ud-train_909.graphml,1,1,1,1,1,1
es_gsd-ud-train_8468.graphml,0,0,1,0,0,0
es_gsd-ud-train_5862.graphml,0,1,0,0,0,0
es_gsd-ud-train_6291.graphml,0,0,3,3,0,0
es_gsd-ud-train_9162.graphml,0,2,6,6,2,2
es_gsd-ud-train_10096.graphml,0,0,1,1,0,0
es_gsd-ud-train_5083.graphml,2,2,2,2,2,2
es_gsd-ud-train_10877.graphml,4,4,1,1,4,4
es_gsd-ud-train_13284.graphml,1,1,1,1,1,1
es_gsd-ud-train_9983.graphml,2,1,2,2,2,2
es_gsd-ud-train_4589.graphml,2,2,2,2,2,2
es_gsd-ud-train_871.graphml,0,0,0,0,0,0
es_gsd-ud-train_8510.graphml,1,1,1,1,1,1
es_gsd-ud-train_9727.graphml,2,2,2,2,2,2
es_gsd-ud-train_1492.graphml,1,1,0,0,1,1
es_gsd-ud-train_7847.graphml,0,0,0,0,0,0
es_gsd-ud-train_12852.graphml,0,0,0,0,0,0
es_gsd-ud-train_8355.graphml,0,0,2,2,0,0
es_gsd-ud-train_2680.graphml,2,1,3,3,1,2
es_gsd-ud-train_1482.graphml,2,1,3,2,1,1
es_gsd-ud-train_7857.graphml,2,2,2,2,2,2
es_gsd-ud-train_9737.graphml,0,0,1,0,1,0
es_gsd-ud-train_8345.graphml,1,1,2,2,1,1
es_gsd-ud-train_12842.graphml,1,1,0,0,1,1
es_gsd-ud-train_2690.graphml,0,0,1,0,0,0
es_gsd-ud-train_631.graphml,3,2,3,3,3,2
es_gsd-ud-train_3216.graphml,1,1,2,1,1,1
es_gsd-ud-train_10637.graphml,1,1,1,1,1,1
es_gsd-ud-train_6430.graphml,0,0,0,0,0,0
es_gsd-ud-train_4250.graphml,0,3,5,0,3,3
es_gsd-ud-train_1476.graphml,0,0,0,0,0,0
es_gsd-ud-train_12057.graphml,0,1,2,2,0,1
es_gsd-ud-train_7042.graphml,1,1,1,1,1,1
es_gsd-ud-train_749.graphml,1,1,1,1,1,1
es_gsd-ud-train_6548.graphml,1,1,1,1,1,1
es_gsd-ud-train_2664.graphml,0,1,0,0,0,1
es_gsd-ud-train_11245.graphml,1,0,1,1,2,0
es_gsd-ud-train_13425.graphml,3,1,3,3,3,1
es_gsd-ud-train_4328.graphml,1,1,2,2,1,1
es_gsd-ud-train_5622.graphml,2,1,1,1,2,1
es_gsd-ud-train_4240.graphml,0,0,0,0,0,0
es_gsd-ud-train_1466.graphml,0,0,0,0,0,0
es_gsd-ud-train_12047.graphml,2,2,2,2,2,2
es_gsd-ud-train_3206.graphml,0,0,0,0,0,0
es_gsd-ud-train_10627.graphml,3,1,3,3,1,1
es_gsd-ud-train_621.graphml,1,1,2,0,1,1
es_gsd-ud-train_6420.graphml,1,1,0,0,1,1
es_gsd-ud-train_4338.graphml,0,0,0,0,0,0
es_gsd-ud-train_13435.graphml,0,0,2,0,0,0
es_gsd-ud-train_5632.graphml,0,0,0,0,0,0
